LOCAL,INSCRIÇÃO,HIDROMETRO
BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461
BSAN UNB LD BSAN,7204647,A14B946881
CAEP/IP UNB A S/N C.UNIV. DARCY RIBEIRO – AO LADO DA FIOCRUZ,6946771,Y12K058408
CAMPUS NOVO CEILÃNCIA QNN 26,6454402,Y11X022562
CAMPUS PLANALTINA VNSF CJ B2 AREA UNIV 2 UNB,5771871,F03N000319
CASA DE ESTUDANTE – PLANALTINA VNSF CJ A4 LT06,690449,A02N517846
CASA DE ESTUDANTE – PLANALTINA VNSF CJ B3 LT19,694819,A03N421585
CASA DE ESTUDANTE – PLANALTINA VNSF CJ C2 LT11,690899,A09X271873
CASA DE ESTUDANTE – PLANALTINA VNSF CJ C2 LT17,690953,A09X219511
CASA DE ESTUDANTE – PLANALTINA VNSF CJ D3 LT17,692433,A05S120390
CASA DE ESTUDANTE – SRNA Q01 CJ E LT 47 APT 201,4364929,A04F003891
CASA DE ESTUDANTE – SRNA Q01 CJ E LT 47 APT 202,4364937,A04F003889
CASA DO ESTUDANTE UNB CASA DO ESTUDANTE,4813251,A06A039872
CENT. SEL. PROMO. EVENTOS – FUB SMPW Q 26 CJ 03 LT 07 FUB,924831,A06X058221
CENTRO DE CONVIVENCIA DARCY RIBEIRO UNB AE CENTRO DE CONVIVENCIA DARCY RIBEIRO,7911297,Y15S761021
CENTRO DE CONVIVENCIA DARCY RIBEIRO UNB AE CENTRO DE CONVIVENCIA DARCY RIBEIRO,7923252,Y17N380280
CENTRO DE EDUCAÇAO A DISTANCIA SCLN 115 BL A SS09,189677,A01N461451
CENTRO DE EDUCAÇÃO A DISTANCIA  SCLN 115 BL A SS 11,189693,A08S417882
CENTRO DE EDUCAÇÃO A DISTANCIA SCLN 115 BL A SS 19,189731,A06A045086
CENTRO DE EDUCAÇÃO A DISTANCIA SCLN 115 BL A SS21,189741,y11x151994
CENTRO DE EDUCAÇÃO A DISTANCIA SCLN 115 BL A SS25,189758,A11C051355
CENTRO DE EDUCAÇÃO A DISTÂNCIA SCLN 115 BL ASS 15,189715,y09x031860
CENTRO DE PESQUISA E APLICAÇÃO DE BAMBU E FIBRA SCLN 406 BL A LJ 48,198171,A03N543148
CENTRO DE PESQUISA E APLICAÇÃO DE BAMBU E FIBRA SCLN 406 BL A LJ 52,198196,A05S051260
CENTRO DE PESQUISA E APLICAÇÃO DE BAMBU E FIBRA SCLN 406 BL A LJ 54,198201,A06S772595
CENTRO DE PESQUISA E APLICAÇÃO DE BAMBU E FIBRA SCLN 406 BL A LJ 58,198218,A03N647689
CESPE,198081,A07F660334
CESPE,198111,YO88385748
CESPE,198145,AO65242037
CESPE,198415,AO65242037
CESPE SCLN 406 BL A SS  04,198013,A07F658388
CESPE SCLN 406 BL A SS  08,198048,A06S219320
CESPE SCLN 406 BL A SS  12,198064,A01N460767
CESPE SCLN 406 BL A SS  12,198102,A03N228091
CESPE SCLN 406 BL A SS  24,198129,A06S242036
CESPE SCLN 406 BL A SS 02,197998,A03N424473
CESPE UNB CESPE 01,4788079,B08S032445
CESPE UNB SAA Q 03 LT 1370/1400,3416984,A03A014410
CESPE/UNB SAA Q 03 LOTE 1260,3163962,A06X085399
CLUBE DO SERVIDOR SCEN TR 03 LT 01A/B ASC,85359,E06N001373
DIREB – FIOCRUZ UNB SG 10 FDS HUB – FIOC,5375151,D10X001499
EDITORA DA UNB SCLN 406 BL A SS 46,7192631,Y13K005652
ENG. FL,8159831,Y18N012100
FACULD. DE DIREITO CIÊNC. POL DIR. 1,4788095,E03N001214
FACULDADE DE EDUCAÇÃO UNB FE 5 LIG 1,475821,E78T000540
FACULDADE DE EDUCAÇÃO UNB FE 5 LIG 1,4758421,E78T000540
FACULDADE DE TECNOLOGIA FTD LIG 1,4758511,H78T000015
FGA,1858297,Ao6X053621
FUB -SCEN TR ESTAÇÃO  EXP. BIOLOGIA,85421,E03N000897
FUB – CAMPUS FACULDADE UNB GAMA,1853297,A06X053621
FUB-BRASÍLIA SCLN 205 BL. D LJ 07,196967,A00N445103
FUB-BRASÍLIA VNSF CJ B2 AREA UNIV. 1 UNI. PLANALTINA,3736563,C01N000109
FUB-FUNDAÇÃO UNIVERSIDADE DE BRASILIA SCLN 406 BL A LJ 42 – TERREO,198153,A03N526831
FUB. BRASÍLIA CNN 01 BL E SALAS CEILÂNDIA,2096005,A04N457307
FUND.UNIV. BRASÍLIA PCA CORETO,3315673,A05S118580
FUNDAÇÃO UNIV. DE BRASÍLIA SCLN 115 BLOCO ''A'' SS 5,189651,A05S044930
FUNDAÇÃO UNIV. DE BRASÍLIA SCLN 305 BL C ENT 34 1º PAVIM,4450281,A06F049027
FUNDAÇÃO UNIVERS DE BARASÍLIA SCLN 406 BL A SS 94,198323,y09x029362
FUNDAÇÃO UNIVERS DE BRASÍLIA SCLN 406 BL A SS 68,198234,A03N549451
FUNDAÇÃO UNIVERSIDADE DE BRASILIA G TORTO – CPAB,135992,Y18L274736
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA  SQN 214 BL G AP 406,5378966,A07S409106
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA AO LADO DO CEFTRU,5778981,Y08B986351
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA SCLN 406 BL A LJ 72,198269,A97S533980
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA SCLN 406 BL A SS 72,198251,A96T372747
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA SCLN 406 BL A SS 78,198293,A07F658389
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA SRNA Q 06 CJ M C 28,779237,Y08B993272
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA UNB BL CENTRO DE CONV MU,6699359,A10X058627
GARAGEM  DA UNB,4859677,C01N000495
GRAFICA PAPELARIA LTDA SIGA Q 06 LT 1440 GAMA,562211,A7X055167
HOSPITAL VETERINÁRIO G. TORTO,136981,RV1WJB390106
INFRA UNB CESPE 01,4788089,A14B947243
INST. DE QUÍMICA UNB,4973534,C06N002634
INST. DE-ARTE IDA SCLN 406 BL. A LJ 32,198137,A05S117901
INSTITUTO DE CIÊNCIAS BIOLÓGICAS,5043923,F07N000395
INSTITUTO DE CIÊNCIAS BIOLÓGICAS,5048923,C03N000527
LAB FAC TEC,7991053,Y1BN047510
MASC CENTRO LIGAÇÃO A,6466656,Y10X356796
MASC NORTE PAV. ANISIO TEIXEIRA LIG. A,6467091,Y10X356794
MASC SUL INSTITUTO DE QUÍMICA LIG. A,6466613,Y10X356746
OFICINA MAQUETE P INSTITUTO DE  ARTE UNB,4803388,A06A04134
ORG INTER DO TRABALHO SEN Q 802 B D OIT,84476,BO7X003265
PAVILHÃO MULTIUSO UNB MULTIUSO 01,4790103,E03N001246
POSTO DE COMBUSTÍVEL UNB POSTO DE GASOLINA,4803401,A06A040133
PREFEITURA DA UNB LIGAÇÃO 02,4803426,E03N000289
PRÉDIO DO CPD,6190588,Y11X037170
SANEAGO UNB CERRADO,7002971,Y11F518077
TERMOBIOLOGIA - UNB,4973501,A03N643055
ULEG/FS,7737882,Y18N012100
UNB  ARQUITETURA DANÇA SG 10-1 CEPLAN,4762401,E03N000308
UNB - PAVILHÃO JOÃO CALMON 01,4788117,E04N000180
UNB - POSTO DE SAÚDE,4803371,C03N001119
UNB - REITORIA LIGAÇÃO 01,4803477,E03N001158
UNB ALMOXARIFADO CENTRAL LIG. 01,4789946,C03N000966
UNB ASSOS. DOS SERVID. ASFUB LIG. 2,4758552,A04L054783
UNB BANCA DE REVISTA COLINA,4841671,A06A080132
UNB BANCO DO BRASIL LIGAÇÃO 01,4790049,C03N001205
UNB BANCO REAL LIGAÇÃO 01,4790073,C03N000596
UNB CANTINA CHICO MENDES,4790091,A06A039940
UNB CASA DO ESTUDANTE – CEU BLOCO A,4813261,E03N000829
UNB CASA DO ESTUDANTE – CEU BLOCO B LIG 4,4813278,E03N000284
UNB CASA DO PROFº 2 ADUNB LIG. 2,4758544,E03N000286
UNB CECEL COMP DE EDUCAÇÃO CULT E LAZER UNB SLE LT 01 PROJ A FGA GAMA,6548393,B10S029685
UNB CEILÂNDIA (ESCOLA) QNN 26,6530923,D11X000476
UNB CENT DE EXCELENCIA EM TURISMO LIG 01,4790197,E04N000176
UNB CENTRO COMUNITÁRIO CCAB - 01,4789954,C03N000425
UNB CENTRO DE CONVIVÊNCIA NEGRA,4803396,A06A040132
UNB CENTRO FORMAÇÃO REC.,4788061,E04N000017
UNB CENTRO OLÍMPICO LIG - 1,4813243,E03N000826
UNB COMPLEXO DAS ARTES,4790022,E02N000825
UNB CRAD PROX GEOCRONOLO,5646405,Y08B988039
UNB CRECHE PIGI,5407427,A08f442471
UNB DAS MANGABEIRAS PLANALTO Q 7 L 9 ALTO PARAISO DE GOIAIS (EMPRESA SANEAGRO),086.65.02,Y11F518077
UNB DEPARTAMENTO DE MÚSICA SG-2 HID.01,4762436,E04N000167
UNB DEPARTAMENTO DE MÚSICA SG-4   1,4789962,E0N000296
UNB ENGENHARIA ELETRICA SG 11 LIG 2,4758447,E02N000752
UNB ENTR FACUL MED/BIO (BSA SUL),6366988,E11S001243
UNB FACE,6682481,A11C050322
UNB FACULDADE DE EDUCAÇÃO FE 1 LIG 2,4758382,E78T000568
UNB FACULDADE DE EDUCAÇÃO FE 3 LIG 2,4758404,E78T000003
UNB FACULDADE DE EDUCAÇÃO FÍSICA,4813383,E03N000850
UNB FACULDADE DE MEDICINA CIÊNCIAS  SAÚDE,4789873,E03N001125
UNB GEOGRONOLOGIA,4973518,A03N236107
UNB INST DE CIENCIAS SOCIAIS,6699502,A10X058681
UNB INST.CENTRAL DE CIÊNCIAS ICC-I,85278,H90T000007
UNB INSTITUTO DE ARTES 1,4789989,E04000153
UNB LAB. ANEXO FARMA,4973526,AO3N647497
UNB LAB. ENG. CIVIL SG 12 - 1,4762381,E03N001175
UNB LAB. ENG. MECÂNICA SG 9 LIG 2,4758463,E81L000311
UNB MASC CENTRO LIG B,6641849,Y11X149137
UNB MASC CENTRO LIG C,6641865,Y11X149138
UNB MASC CENTRO LIG D,6641873,Y11X149140
UNB MASC NORTE LIG B,6640591,Y11X149141
UNB MASC NORTE LIG C,6640648,Y11X49142
UNB MASC NORTE LIG D,6640656,Y11X149143
UNB MASC SUL LIG B,6662188,A10X058366
UNB MASC SUL LIG C,6662201,A10X058375
UNB MASC SUL LIG D,6662196,A10X058373
UNB MEMORIAL DARCY RIBEIRO AO LADO ICC II,6442961,A10S228706
UNB MULTIUSO II LIGAÇÃO 01,4790171,E04N000191
UNB NUCLEO DE MEDICINA TROPICAL 01,4790219,E04N000065
UNB OCA 01 PIJ OCA 01,4790154,A03N001198
UNB PANCP HOSP VETERINÁRIO BIOT.  01,4767861,E02N001959
UNB PAVILHÃO ANÍSIO TEIXEIRA,4789881,E03N001240
UNB POSTO DA PM - PMDF,4803434,A06A040136
UNB QUIOSQUE LANCHONETE ICC,4841697,A06A080133
UNB RESTAURANTE UNVERSITÁRIO - RU,85316,F01N000663
UNB SCLN 406 BL A SS48,198188,A10X057795
UNB SCLN 406 BL. A SS 84,198315,A08S418109
UNB SISMOLÓGICO 02 SIS LIGAÇÃO 2,4758481,E81L000157
UNB ST SUL/AUTOTRAC,2481278,A18N483177
UNB T 6111 AUDITÓRIO DE MÚSICA SG-8-1,4762411,E03N000840
UNB TARTARUGA LANCHES LANCHONETE,4790006,A06A039844
UNB TARTARUGA LANCHES LANCHONETE,4790007,A06A039844
UNB TRAILLER FACULD. EDUC. 3 ESTACIONA.,4789849,A06A041626
UNB TRAILLER QUIOSQUE ICC,4767888,A06A041636
UNB – CDT,4973542,C06N002635
UNB – CIC,6708481,A09X278361
UNB – EST,6712967,A09X273736
UNB- SGP,4803451,A06A040130
UNB-TREILER LANCHONETE GAREM,4841689,A06A080128
UNBSQN 212 BL D AP 108,5054257,A06S772561
UNIVERSIDADE DE BRASÍLIA SGAN 605 LT H,4449983,E04N000148
UNIVERSIDADE DE BRASÍLIA UNB FUBRA,4594177,G90T000024
